Company,FinancialYear,Altman_Z_Score,Z_Score_Zone,Beneish_M_Score,Beneish_Red_Flag,Current_Ratio,Asset_Turnover,Debt_To_Equity,liquidity_ratio_confidence,cogs_confidence
Relaxo,FY20,3.488277182803787,Safe,,N/A,1.1676292373069312,1.3092749907662895,0.10919522162841874,high,high
Relaxo,FY21,3.569872471272899,Safe,-2.472517032794375,No,1.2403148322405892,1.0842678555014247,0.09168092291450704,high,high
Relaxo,FY22,3.4925938954521216,Safe,-1.47892209299313,Yes,1.164464090560621,1.1136074607884696,0.09887962184396518,high,high
Relaxo,FY23,3.373042138705361,Safe,-2.4199057484710718,No,1.1460735603468901,1.1154325614580787,0.08845044607962048,high,high
Relaxo,FY24,3.370006121980231,Safe,-1.9741273129148578,No,1.1979092622224374,1.073749682192851,0.10242815237543162,high,high
Relaxo,FY25,3.4549613965487485,Safe,-2.6181078417335906,No,1.2439182271130211,1.0098245410809892,0.10129309317610949,high,high
Bata,FY20,,N/A,,N/A,,0.8187937228513428,0.0,high,high
Bata,FY21,,N/A,,N/A,,0.5126792447847742,0.5871573200704627,high,high
Bata,FY22,1.9876633714472658,Grey,,N/A,2.4475191330120634,0.6773392300174886,1.2059722745738577,high,high
Bata,FY23,2.422031910617394,Grey,-2.2540837774365015,No,1.9618466424461727,1.0549898216807372,0.8666662031274986,high,high
Bata,FY24,2.3662761434369886,Grey,-2.371772595140191,No,2.1088274016124995,1.038464822276926,0.8889254191354601,high,high
Bata,FY25,2.1377126443125505,Grey,-2.160612037463772,No,1.835519476988719,0.9126153199031924,0.9184031624869918,high,high
Metro,FY20,,N/A,,N/A,2.534992855366278,0.7945748962422662,0.6609557183632435,high,high
Metro,FY21,1.657055397053386,Grey,,N/A,2.6591639402951768,0.48215481653290526,1.33626539868273,high,high
Metro,FY22,2.2051161801462276,Grey,-1.8839088030036713,No,3.243603397134041,0.5826578260071998,1.0755974165627475,high,high
Metro,FY23,2.387575541038796,Grey,-1.3890016049951885,Yes,2.843810671411939,0.72665744248288,1.198098543267689,high,high
Metro,FY24,2.370356103413001,Grey,-2.5784185248431672,No,3.343274437724811,0.7029301931589057,0.6572851792571931,high,high
Metro,FY25,2.3009251494195775,Grey,,N/A,2.898019143353413,0.7519650916942824,0.7060421065956258,high,high
Liberty Shoes,FY18,2.3754562482090003,Grey,,N/A,2.171116786626422,1.3189004931824775,0.690017825311943,approximate,approximate
Liberty Shoes,FY19,2.5214915393281654,Grey,-2.3436518349524413,No,2.118808962264151,1.4355680545294218,0.6210460203265958,approximate,approximate
Liberty Shoes,FY20,1.6486101197745637,Grey,-2.263390901532856,No,1.2361081798172882,1.0156858469111185,0.6670785430321264,approximate,approximate
Liberty Shoes,FY21,1.6181633821153119,Grey,-2.879246756018352,No,1.3711719418306245,0.885294060802845,0.5216761455091748,approximate,approximate
Liberty Shoes,FY22,2.156662721049457,Grey,-2.6772391392920087,No,2.2709518553112,1.1296575041104138,0.6616931216931217,approximate,approximate
Liberty Shoes,FY23,2.479887623385547,Grey,-2.927936673786952,No,2.5395568212156268,1.3901506299262785,0.808144522379775,approximate,approximate
Liberty Shoes,FY24,2.4994024578607092,Grey,-2.5040677157628344,No,2.4458616516153056,1.373164578796438,0.7045965466111829,approximate,approximate
Liberty Shoes,FY25,2.5179458206685004,Grey,-2.58535162643545,No,2.5022026431718056,1.3601272577170127,0.701069374550683,approximate,approximate
Liberty Shoes,FY26,2.5253552051720574,Grey,,N/A,2.4108191906005225,1.415842341911413,0.7113953289417401,approximate,approximate
Campus Activewear,FY18,2.397429647941877,Grey,,N/A,2.244808641400503,1.0372330994655656,0.7924540068599938,approximate,approximate
Campus Activewear,FY19,2.599198492617325,Grey,-2.106059558532762,No,2.4827902707664067,1.0564031332543946,0.6224143860855894,approximate,approximate
Campus Activewear,FY20,2.1271799569202567,Grey,-1.2835802029950496,Yes,2.8125702359929363,0.9674180484450217,0.8625672397426432,approximate,approximate
Campus Activewear,FY21,2.09322470646134,Grey,-3.20298041146808,No,1.5589448490095228,1.0364886920027978,0.5669321562230113,approximate,approximate
Campus Activewear,FY22,2.6128272619667556,Grey,-1.4678538780764725,Yes,1.9902448896984417,1.239264440339553,0.6758735207446559,approximate,approximate
Campus Activewear,FY23,2.6078936186743285,Grey,-1.968901326481823,No,2.213908421088046,1.2532190653100859,0.6067521553285518,approximate,approximate
Campus Activewear,FY24,2.8393593124630714,Grey,-2.9756597755369327,No,1.9521777155850968,1.2986003389313798,0.2727802841972808,approximate,approximate
Campus Activewear,FY25,2.693185260299588,Grey,-2.100577512318894,No,1.6955983372151302,1.1995451704481277,0.3070283274510582,approximate,approximate
Campus Activewear,FY26,2.937295759410682,Safe,,N/A,1.8663710819631756,1.2091958096770015,0.2605903448275862,approximate,approximate
Khadim India,FY18,3.09031144408186,Safe,,N/A,1.7622478386167146,1.5290717859695702,0.2550560542292078,approximate,approximate
Khadim India,FY19,2.7815040554916415,Grey,-1.8057235135360072,No,1.9446077470768828,1.4535831211349581,0.37904543400424107,approximate,approximate
Khadim India,FY20,1.6907210860993782,Grey,-2.760065025857662,No,1.662761365547396,1.105102654411133,1.2272805139186296,approximate,approximate
Khadim India,FY21,1.443966285629847,Grey,-2.607742249891474,No,1.431492070342,0.9931640470110548,1.2152490917234857,approximate,approximate
Khadim India,FY22,1.623287888560648,Grey,-1.9663246902169356,No,1.5498508946322067,0.9077338902881014,1.16701984203429,approximate,approximate
Khadim India,FY23,1.7265535287531808,Grey,-2.086281953829017,No,1.91195,0.8981540679879749,1.3745562655307064,approximate,approximate
Khadim India,FY24,1.4265219787735939,Grey,-2.3792722940421496,No,2.309748978400467,0.5825873026720426,1.3370313216832799,approximate,approximate
Khadim India,FY25,1.3897072644903092,Grey,-2.382092465259632,No,2.104327954481858,0.5491074360624729,1.1730509417468011,approximate,approximate
Khadim India,FY26,1.5195204526392376,Grey,,N/A,2.4983131421561113,0.6715080119997074,1.4909341152534261,approximate,approximate
